# data last user frame sfdCycle
00 0 0 1 19
0A 0 0 1 19
35 0 0 1 19
01 0 0 1 19
02 0 0 1 19
03 0 0 1 19
DE 0 0 1 19
AD 0 0 1 19
BE 0 0 1 19
EF 0 0 1 19
00 0 0 1 19
01 0 0 1 19
08 0 0 1 19
00 0 0 1 19
01 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 0 0 1 19
00 1 1 1 19
00 0 0 3 187
0A 0 0 3 187
35 0 0 3 187
01 0 0 3 187
02 0 0 3 187
03 0 0 3 187
DE 0 0 3 187
AD 0 0 3 187
BE 0 0 3 187
EF 0 0 3 187
00 0 0 3 187
01 0 0 3 187
08 0 0 3 187
00 0 0 3 187
03 0 0 3 187
04 0 0 3 187
05 0 0 3 187
06 0 0 3 187
07 0 0 3 187
08 0 0 3 187
09 0 0 3 187
0A 0 0 3 187
0B 0 0 3 187
0C 0 0 3 187
0D 0 0 3 187
0E 0 0 3 187
0F 0 0 3 187
10 0 0 3 187
11 0 0 3 187
12 0 0 3 187
13 0 0 3 187
14 0 0 3 187
15 0 0 3 187
16 0 0 3 187
17 0 0 3 187
18 0 0 3 187
19 0 0 3 187
1A 0 0 3 187
1B 0 0 3 187
1C 0 0 3 187
1D 0 0 3 187
1E 0 0 3 187
1F 0 0 3 187
20 0 0 3 187
21 0 0 3 187
22 0 0 3 187
23 0 0 3 187
24 0 0 3 187
25 0 0 3 187
26 0 0 3 187
27 0 0 3 187
28 0 0 3 187
29 0 0 3 187
2A 0 0 3 187
2B 0 0 3 187
2C 0 0 3 187
2D 0 0 3 187
2E 0 0 3 187
2F 0 0 3 187
30 1 1 3 187
00 0 0 5 356
0A 0 0 5 356
35 0 0 5 356
01 0 0 5 356
02 0 0 5 356
03 0 0 5 356
DE 0 0 5 356
AD 0 0 5 356
BE 0 0 5 356
EF 0 0 5 356
00 0 0 5 356
01 0 0 5 356
08 0 0 5 356
00 0 0 5 356
05 0 0 5 356
06 0 0 5 356
07 0 0 5 356
08 0 0 5 356
09 0 0 5 356
0A 0 0 5 356
0B 0 0 5 356
0C 0 0 5 356
0D 0 0 5 356
0E 0 0 5 356
0F 0 0 5 356
10 0 0 5 356
11 0 0 5 356
12 0 0 5 356
13 0 0 5 356
14 0 0 5 356
15 0 0 5 356
16 0 0 5 356
17 0 0 5 356
18 0 0 5 356
19 0 0 5 356
1A 0 0 5 356
1B 0 0 5 356
1C 0 0 5 356
1D 0 0 5 356
1E 0 0 5 356
1F 0 0 5 356
20 0 0 5 356
21 0 0 5 356
22 0 0 5 356
23 0 0 5 356
24 0 0 5 356
25 0 0 5 356
26 0 0 5 356
27 0 0 5 356
28 0 0 5 356
29 0 0 5 356
2A 0 0 5 356
2B 0 0 5 356
2C 0 0 5 356
2D 0 0 5 356
2E 0 0 5 356
2F 0 0 5 356
30 0 0 5 356
31 0 0 5 356
32 0 0 5 356
33 0 0 5 356
34 0 0 5 356
35 0 0 5 356
36 0 0 5 356
37 0 0 5 356
38 0 0 5 356
39 0 0 5 356
3A 0 0 5 356
3B 0 0 5 356
3C 0 0 5 356
3D 0 0 5 356
3E 0 0 5 356
3F 0 0 5 356
40 0 0 5 356
41 0 0 5 356
42 0 0 5 356
43 1 1 5 356
00 0 0 7 559
0A 0 0 7 559
35 0 0 7 559
01 0 0 7 559
02 0 0 7 559
03 0 0 7 559
DE 0 0 7 559
AD 0 0 7 559
BE 0 0 7 559
EF 0 0 7 559
00 0 0 7 559
01 0 0 7 559
08 0 0 7 559
00 0 0 7 559
07 0 0 7 559
08 0 0 7 559
09 0 0 7 559
0A 0 0 7 559
0B 0 0 7 559
0C 0 0 7 559
0D 0 0 7 559
0E 0 0 7 559
0F 0 0 7 559
10 0 0 7 559
11 0 0 7 559
12 0 0 7 559
13 0 0 7 559
14 0 0 7 559
15 0 0 7 559
16 0 0 7 559
17 0 0 7 559
18 0 0 7 559
19 0 0 7 559
1A 0 0 7 559
1B 0 0 7 559
1C 0 0 7 559
1D 0 0 7 559
1E 0 0 7 559
1F 0 0 7 559
20 0 0 7 559
21 0 0 7 559
22 0 0 7 559
23 0 0 7 559
24 0 0 7 559
25 0 0 7 559
26 0 0 7 559
27 0 0 7 559
28 0 0 7 559
29 0 0 7 559
2A 0 0 7 559
2B 0 0 7 559
2C 0 0 7 559
2D 0 0 7 559
2E 0 0 7 559
2F 0 0 7 559
30 0 0 7 559
31 0 0 7 559
32 0 0 7 559
33 0 0 7 559
34 0 0 7 559
35 0 0 7 559
36 0 0 7 559
37 0 0 7 559
38 0 0 7 559
39 0 0 7 559
3A 0 0 7 559
3B 0 0 7 559
3C 0 0 7 559
3D 0 0 7 559
3E 0 0 7 559
3F 0 0 7 559
40 0 0 7 559
41 0 0 7 559
42 0 0 7 559
43 0 0 7 559
44 0 0 7 559
45 0 0 7 559
46 0 0 7 559
47 1 1 7 559
00 0 0 9 800
0A 0 0 9 800
35 0 0 9 800
01 0 0 9 800
02 0 0 9 800
03 0 0 9 800
DE 0 0 9 800
AD 0 0 9 800
BE 0 0 9 800
EF 0 0 9 800
00 0 0 9 800
01 0 0 9 800
08 0 0 9 800
00 0 0 9 800
09 0 0 9 800
0A 0 0 9 800
0B 0 0 9 800
0C 0 0 9 800
0D 0 0 9 800
0E 0 0 9 800
0F 0 0 9 800
10 0 0 9 800
