# data last user frame sfdCycle
00 0 0 1 19
0A 0 0 1 19
35 0 0 1 19
01 0 0 1 19
02 0 0 1 19
03 0 0 1 19
DE 0 0 1 19
AD 0 0 1 19
BE 0 0 1 19
EF 0 0 1 19
00 0 0 1 19
01 0 0 1 19
08 0 0 1 19
00 0 0 1 19
01 0 0 1 19
02 0 0 1 19
03 0 0 1 19
04 0 0 1 19
05 0 0 1 19
06 0 0 1 19
07 0 0 1 19
08 0 0 1 19
09 0 0 1 19
0A 0 0 1 19
0B 0 0 1 19
0C 0 0 1 19
0D 0 0 1 19
0E 0 0 1 19
0F 0 0 1 19
10 0 0 1 19
11 0 0 1 19
12 0 0 1 19
13 0 0 1 19
14 0 0 1 19
15 0 0 1 19
16 0 0 1 19
17 0 0 1 19
18 0 0 1 19
19 0 0 1 19
1A 0 0 1 19
1B 0 0 1 19
1C 0 0 1 19
1D 0 0 1 19
1E 0 0 1 19
1F 0 0 1 19
20 0 0 1 19
21 0 0 1 19
22 0 0 1 19
23 0 0 1 19
24 0 0 1 19
25 0 0 1 19
26 0 0 1 19
27 0 0 1 19
28 0 0 1 19
29 0 0 1 19
2A 0 0 1 19
2B 0 0 1 19
2C 0 0 1 19
2D 0 0 1 19
2E 1 1 1 19
00 0 0 2 103
0A 0 0 2 103
35 0 0 2 103
01 0 0 2 103
02 0 0 2 103
03 0 0 2 103
DE 0 0 2 103
AD 0 0 2 103
BE 0 0 2 103
EF 0 0 2 103
00 0 0 2 103
01 0 0 2 103
08 0 0 2 103
00 0 0 2 103
02 0 0 2 103
03 0 0 2 103
04 0 0 2 103
05 0 0 2 103
06 0 0 2 103
07 0 0 2 103
08 0 0 2 103
09 0 0 2 103
0A 0 0 2 103
0B 0 0 2 103
0C 0 0 2 103
0D 0 0 2 103
0E 0 0 2 103
0F 0 0 2 103
10 0 0 2 103
11 0 0 2 103
12 0 0 2 103
13 0 0 2 103
14 0 0 2 103
15 0 0 2 103
16 0 0 2 103
17 0 0 2 103
18 0 0 2 103
19 0 0 2 103
1A 0 0 2 103
1B 0 0 2 103
1C 0 0 2 103
1D 0 0 2 103
1E 0 0 2 103
1F 0 0 2 103
20 0 0 2 103
21 0 0 2 103
22 0 0 2 103
23 0 0 2 103
24 0 0 2 103
25 0 0 2 103
26 0 0 2 103
27 0 0 2 103
28 0 0 2 103
29 0 0 2 103
2A 0 0 2 103
2B 0 0 2 103
2C 0 0 2 103
2D 0 0 2 103
2E 0 0 2 103
2F 0 0 2 103
30 0 0 2 103
31 0 0 2 103
32 0 0 2 103
33 0 0 2 103
34 0 0 2 103
35 0 0 2 103
36 0 0 2 103
37 0 0 2 103
38 0 0 2 103
39 0 0 2 103
3A 0 0 2 103
3B 0 0 2 103
3C 0 0 2 103
3D 0 0 2 103
3E 0 0 2 103
3F 0 0 2 103
40 0 0 2 103
41 0 0 2 103
42 0 0 2 103
43 0 0 2 103
44 0 0 2 103
45 0 0 2 103
46 0 0 2 103
47 0 0 2 103
48 0 0 2 103
49 0 0 2 103
4A 0 0 2 103
4B 0 0 2 103
4C 0 0 2 103
4D 0 0 2 103
4E 0 0 2 103
4F 0 0 2 103
50 0 0 2 103
51 0 0 2 103
52 0 0 2 103
53 0 0 2 103
54 0 0 2 103
55 0 0 2 103
56 0 0 2 103
57 0 0 2 103
58 0 0 2 103
59 0 0 2 103
5A 0 0 2 103
5B 0 0 2 103
5C 0 0 2 103
5D 0 0 2 103
5E 0 0 2 103
5F 0 0 2 103
60 0 0 2 103
61 0 0 2 103
62 0 0 2 103
63 0 0 2 103
64 0 0 2 103
65 0 0 2 103
66 0 0 2 103
67 0 0 2 103
68 0 0 2 103
69 0 0 2 103
6A 0 0 2 103
6B 0 0 2 103
6C 0 0 2 103
6D 0 0 2 103
6E 0 0 2 103
6F 0 0 2 103
70 0 0 2 103
71 0 0 2 103
72 0 0 2 103
73 0 0 2 103
74 0 0 2 103
75 0 0 2 103
76 0 0 2 103
77 0 0 2 103
78 0 0 2 103
79 0 0 2 103
7A 0 0 2 103
7B 0 0 2 103
7C 0 0 2 103
7D 0 0 2 103
7E 0 0 2 103
7F 0 0 2 103
80 0 0 2 103
81 0 0 2 103
82 0 0 2 103
83 0 0 2 103
84 0 0 2 103
85 0 0 2 103
86 0 0 2 103
87 0 0 2 103
88 0 0 2 103
89 0 0 2 103
8A 0 0 2 103
8B 0 0 2 103
8C 0 0 2 103
8D 0 0 2 103
8E 0 0 2 103
8F 0 0 2 103
90 0 0 2 103
91 0 0 2 103
92 0 0 2 103
93 0 0 2 103
94 0 0 2 103
95 0 0 2 103
96 0 0 2 103
97 0 0 2 103
98 0 0 2 103
99 0 0 2 103
9A 0 0 2 103
9B 0 0 2 103
9C 0 0 2 103
9D 0 0 2 103
9E 0 0 2 103
9F 0 0 2 103
A0 0 0 2 103
A1 0 0 2 103
A2 0 0 2 103
A3 0 0 2 103
A4 0 0 2 103
A5 0 0 2 103
A6 0 0 2 103
A7 0 0 2 103
A8 0 0 2 103
A9 0 0 2 103
AA 0 0 2 103
AB 0 0 2 103
AC 0 0 2 103
AD 0 0 2 103
AE 0 0 2 103
AF 0 0 2 103
B0 0 0 2 103
B1 0 0 2 103
B2 0 0 2 103
B3 0 0 2 103
B4 0 0 2 103
B5 0 0 2 103
B6 0 0 2 103
B7 0 0 2 103
B8 0 0 2 103
B9 0 0 2 103
BA 0 0 2 103
BB 0 0 2 103
BC 0 0 2 103
BD 0 0 2 103
BE 0 0 2 103
BF 0 0 2 103
C0 0 0 2 103
C1 0 0 2 103
C2 0 0 2 103
C3 0 0 2 103
C4 0 0 2 103
C5 0 0 2 103
C6 0 0 2 103
C7 0 0 2 103
C8 0 0 2 103
C9 0 0 2 103
CA 0 0 2 103
CB 0 0 2 103
CC 0 0 2 103
CD 0 0 2 103
CE 0 0 2 103
CF 0 0 2 103
D0 0 0 2 103
D1 0 0 2 103
D2 0 0 2 103
D3 0 0 2 103
D4 0 0 2 103
D5 0 0 2 103
D6 0 0 2 103
D7 0 0 2 103
D8 0 0 2 103
D9 0 0 2 103
DA 0 0 2 103
DB 0 0 2 103
DC 0 0 2 103
